,Team Name,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-13,2018-01-14,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28
307,WI-Milwkee,6.8,6.8,6.8,6.8,6.8,6.8,6.6,6.6,6.6,6.6,6.7,6.7,7.1,7.1,7.1,7.2,7.2,7.2,7.1,7.1,7.0,7.0,7.0,7.0,7.0,6.9,6.9,6.9,6.9,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.4,7.4,7.2,7.2,7.2,7.2,7.2,7.2,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.5,7.5,7.5,7.5
308,Vermont,6.8,6.8,6.7,6.7,6.8,6.8,7.1,7.1,7.1,7.1,6.9,6.9,6.9,6.8,6.8,6.7,6.7,6.7,6.6,6.6,6.6,6.5,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.9,6.9,6.9,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.5
309,S Mississippi,6.7,6.7,6.7,6.7,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.2
310,Campbell,6.7,6.7,6.7,6.8,6.8,6.8,6.3,6.3,6.3,6.4,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.2,6.4,6.4,6.3,6.3,6.3,6.3,6.1,6.1,6.1,6.1,6.1,6.0,6.0,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.1,5.9,5.9,5.9,5.9,6.0,6.0,6.0,6.0,6.0,6.0
311,Richmond,6.7,6.7,6.7,6.8,6.8,6.8,6.7,6.7,6.7,7.0,7.0,7.0,7.0,6.8,6.8,6.8,6.8,6.7,6.7,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.2,7.2,7.2,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.1,7.0,7.0,7.0,7.0,7.0,7.0,7.0
312,Ark Pine Bl,6.6,6.6,6.6,6.6,6.6,6.6,6.9,6.9,7.0,7.0,7.0,7.0,7.0,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.2,7.2,7.1,7.1,7.1,7.1,7.1,7.0,7.0,6.8,6.8,6.8,6.8,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.9,6.9,7.0,7.0,7.0,7.0,7.0,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.1,7.1
313,Liberty,6.6,6.6,6.5,6.5,6.5,6.5,6.7,6.7,6.7,7.0,7.0,7.0,6.7,6.7,6.7,6.6,6.6,6.6,6.4,6.4,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.4,6.3,6.3,6.4,6.4,6.4,6.4,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.0,6.0,6.0,6.0,6.0,6.0
314,Abl Christian,6.6,6.6,6.6,6.4,6.4,6.4,6.6,6.6,6.6,6.6,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.7,6.7,6.7,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.6,7.6,7.6,7.6
315,S Utah,6.6,6.6,6.6,6.6,6.8,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.7,6.7,6.8,6.8,6.8,6.8
316,Sac State,6.6,6.6,6.6,6.6,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.9,6.9,6.9,6.9,6.9,7.0,7.0,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,7.0,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.0,7.0,7.0,7.0,7.0,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.3,7.3,7.3,7.3,7.3,7.3
